node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
1,1,100,oSIA,0,0,22.653015
1,1,25,oSIA,21633,3,7.642404617
1,1,30,oSIA,18607,4,9.201481582
1,1,35,oSIA,0,0,7.928555249
1,1,40,oSIA,11567,4,11.81681609
1,1,45,oSIA,0,0,10.19385675
1,1,50,oSIA,3607,4,14.26439929
1,1,55,oSIA,0,0,12.45915825
1,1,60,oSIA,0,0,13.591809
1,1,65,oSIA,0,0,14.72445975
1,1,70,oSIA,0,0,15.8571105
1,1,75,oSIA,0,0,16.98976125
1,1,80,oSIA,0,0,18.122412
1,1,85,oSIA,0,0,19.25506275
1,1,90,oSIA,0,0,20.3877135
1,1,95,oSIA,0,0,21.52036425
1,2,100,oSIA,0,0,22.653015
1,2,25,oSIA,0,0,5.66325375
1,2,30,oSIA,0,0,6.7959045
1,2,35,oSIA,0,0,7.928555249
1,2,40,oSIA,0,1,9.365123916
1,2,45,oSIA,10252,3,12.30556795
1,2,50,oSIA,31,1,11.69445076
1,2,55,oSIA,10,4,15.35170652
1,2,60,oSIA,0,0,13.591809
1,2,65,oSIA,0,0,14.72445975
1,2,70,oSIA,0,0,15.8571105
1,2,75,oSIA,0,0,16.98976125
1,2,80,oSIA,0,0,18.122412
1,2,85,oSIA,0,0,19.25506275
1,2,90,oSIA,0,0,20.3877135
1,2,95,oSIA,0,0,21.52036425
1,3,100,oSIA,0,0,22.653015
1,3,25,oSIA,0,0,5.66325375
1,3,30,oSIA,0,0,6.7959045
1,3,35,oSIA,15870,3,10.09035551
1,3,40,oSIA,0,0,9.061205999
1,3,45,oSIA,12,2,10.8760175
1,3,50,oSIA,0,0,11.3265075
1,3,55,oSIA,3,2,13.21948316
1,3,60,oSIA,6,3,15.72168118
1,3,65,oSIA,1,2,16.10669672
1,3,70,oSIA,0,0,15.8571105
1,3,75,oSIA,0,0,16.98976125
1,3,80,oSIA,0,0,18.122412
1,3,85,oSIA,0,0,19.25506275
1,3,90,oSIA,0,0,20.3877135
1,3,95,oSIA,0,0,21.52036425
1,4,100,oSIA,0,0,22.653015
1,4,25,oSIA,0,0,5.66325375
1,4,30,oSIA,0,0,6.7959045
1,4,35,oSIA,1,1,8.230314279
1,4,40,oSIA,0,0,9.061205999
1,4,45,oSIA,0,0,10.19385675
1,4,50,oSIA,0,0,11.3265075
1,4,55,oSIA,0,0,12.45915825
1,4,60,oSIA,1,1,14.0328798
1,4,65,oSIA,0,0,14.72445975
1,4,70,oSIA,0,0,15.8571105
1,4,75,oSIA,0,0,16.98976125
1,4,80,oSIA,0,0,18.122412
1,4,85,oSIA,0,0,19.25506275
1,4,90,oSIA,0,0,20.3877135
1,4,95,oSIA,0,0,21.52036425
1,5,100,oSIA,0,0,22.653015
1,5,25,oSIA,0,0,5.66325375
1,5,30,oSIA,0,0,6.7959045
1,5,35,oSIA,0,0,7.928555249
1,5,40,oSIA,0,0,9.061205999
1,5,45,oSIA,0,0,10.19385675
1,5,50,oSIA,0,0,11.3265075
1,5,55,oSIA,0,0,12.45915825
1,5,60,oSIA,0,0,13.591809
1,5,65,oSIA,0,0,14.72445975
1,5,70,oSIA,0,0,15.8571105
1,5,75,oSIA,0,0,16.98976125
1,5,80,oSIA,0,0,18.122412
1,5,85,oSIA,0,0,19.25506275
1,5,90,oSIA,0,0,20.3877135
1,5,95,oSIA,0,0,21.52036425
10,1,100,oSIA,0,0,22.653015
10,1,25,oSIA,21732,4,8.005680049
10,1,30,oSIA,19001,4,9.255591548
