node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
1,1,100,pSIA,0,0,28.32670137
1,1,25,pSIA,0,0,7.852197684
1,1,30,pSIA,0,0,9.217271137
1,1,35,pSIA,1,2,11.67600659
1,1,40,pSIA,0,0,11.94471741
1,1,45,pSIA,0,0,13.3087105
1,1,50,pSIA,0,0,14.67374646
1,1,55,pSIA,0,0,16.0383681
1,1,60,pSIA,0,0,17.40231508
1,1,65,pSIA,0,0,18.76620727
1,1,70,pSIA,0,0,20.13180845
1,1,75,pSIA,0,0,21.49515313
1,1,80,pSIA,0,0,22.85949458
1,1,85,pSIA,0,0,24.22382081
1,1,90,pSIA,0,0,25.58813512
1,1,95,pSIA,0,0,26.95176273
1,2,100,pSIA,0,0,33.98968138
1,2,25,pSIA,114,2,10.59775789
1,2,30,pSIA,14,2,12.1604967
1,2,35,pSIA,0,0,12.32651738
1,2,40,pSIA,0,0,14.21138003
1,2,45,pSIA,0,0,15.85686999
1,2,50,pSIA,0,0,17.50625304
1,2,55,pSIA,0,0,19.15169342
1,2,60,pSIA,0,0,20.80128084
1,2,65,pSIA,0,0,22.44797028
1,2,70,pSIA,0,0,24.09579946
1,2,75,pSIA,0,0,25.74241744
1,2,80,pSIA,0,0,27.38989899
1,2,85,pSIA,0,0,29.03692979
1,2,90,pSIA,0,0,30.68492336
1,2,95,pSIA,0,0,32.33244663
1,3,100,pSIA,0,0,28.32648276
1,3,25,pSIA,58,3,8.693413014
1,3,30,pSIA,2,2,9.682922423
1,3,35,pSIA,0,0,10.43046089
1,3,40,pSIA,1,1,12.48964364
1,3,45,pSIA,0,0,13.3099675
1,3,50,pSIA,0,0,14.67354305
1,3,55,pSIA,0,0,16.03748947
1,3,60,pSIA,0,0,17.40238953
1,3,65,pSIA,0,0,18.76660626
1,3,70,pSIA,0,0,20.13023537
1,3,75,pSIA,0,0,21.49398114
1,3,80,pSIA,0,0,22.85909197
1,3,85,pSIA,0,0,24.22345818
1,3,90,pSIA,0,0,25.58744133
1,3,95,pSIA,0,0,26.95201017
1,4,100,pSIA,0,0,28.32664589
1,4,25,pSIA,0,0,7.42279611
1,4,30,pSIA,0,0,8.89000261
1,4,35,pSIA,0,0,10.48419617
1,4,40,pSIA,0,0,11.82987662
1,4,45,pSIA,0,0,13.30963965
1,4,50,pSIA,0,0,14.67340617
1,4,55,pSIA,1,1,16.470395
1,4,60,pSIA,0,0,17.40195232
1,4,65,pSIA,0,0,18.76764745
1,4,70,pSIA,0,0,20.1307857
1,4,75,pSIA,0,0,21.49479744
1,4,80,pSIA,0,0,22.85900668
1,4,85,pSIA,0,0,24.22383607
1,4,90,pSIA,0,0,25.58794592
1,4,95,pSIA,0,0,26.95214951
1,5,100,pSIA,0,0,22.653015
1,5,25,pSIA,0,0,5.66325375
1,5,30,pSIA,0,0,6.7959045
1,5,35,pSIA,0,0,7.928555249
1,5,40,pSIA,0,0,9.061205999
1,5,45,pSIA,0,0,10.19385675
1,5,50,pSIA,0,0,11.3265075
1,5,55,pSIA,0,0,12.45915825
1,5,60,pSIA,0,0,13.591809
1,5,65,pSIA,0,0,14.72445975
1,5,70,pSIA,0,0,15.8571105
1,5,75,pSIA,0,0,16.98976125
1,5,80,pSIA,0,0,18.122412
1,5,85,pSIA,0,0,19.25506275
1,5,90,pSIA,0,0,20.3877135
1,5,95,pSIA,0,0,21.52036425
10,1,100,pSIA,0,0,28.32663135
10,1,25,pSIA,0,0,7.852382633
10,1,30,pSIA,5,1,9.936322064
10,1,35,pSIA,0,0,10.57997466
10,1,40,pSIA,0,0,11.94424844
10,1,45,pSIA,0,0,13.30922355
10,1,50,pSIA,0,0,14.67383346
10,1,55,pSIA,0,0,16.03715669
10,1,60,pSIA,0,0,17.4013537
10,1,65,pSIA,0,0,18.76632347
10,1,70,pSIA,0,0,20.13002997
10,1,75,pSIA,0,0,21.49464181
10,1,80,pSIA,0,0,22.85925358
10,1,85,pSIA,0,0,24.22426651
10,1,90,pSIA,0,0,25.58752124
10,1,95,pSIA,0,0,26.95204134
10,2,100,pSIA,0,0,33.9898676
10,2,25,pSIA,0,0,9.268917269
10,2,30,pSIA,25,2,11.79791708
10,2,35,pSIA,0,0,12.56383349
10,2,40,pSIA,0,0,14.21016016
10,2,45,pSIA,0,0,15.85828668
10,2,50,pSIA,0,0,17.50512858
10,2,55,pSIA,0,0,19.15293336
10,2,60,pSIA,0,0,20.79954537
10,2,65,pSIA,0,0,22.44754711
10,2,70,pSIA,0,0,24.0952482
10,2,75,pSIA,0,0,25.74226748
10,2,80,pSIA,0,0,27.38951261
10,2,85,pSIA,0,0,29.0371265
10,2,90,pSIA,0,0,30.68524672
10,2,95,pSIA,0,0,32.33209471
10,3,100,pSIA,0,0,28.32646739
10,3,25,pSIA,0,0,7.851760787
10,3,30,pSIA,0,0,8.873691157
10,3,35,pSIA,0,0,10.58139203
10,3,40,pSIA,0,0,11.9449261
10,3,45,pSIA,0,0,13.30833264
10,3,50,pSIA,0,0,14.67385737
10,3,55,pSIA,0,0,16.03830794
10,3,60,pSIA,0,0,17.40223596
10,3,65,pSIA,0,0,18.76625303
10,3,70,pSIA,0,0,20.13009431
10,3,75,pSIA,0,0,21.49438131
10,3,80,pSIA,0,0,22.85997428
10,3,85,pSIA,0,0,24.22344319
10,3,90,pSIA,0,0,25.58763481
10,3,95,pSIA,0,0,26.9518597
10,4,100,pSIA,0,0,28.32643327
10,4,25,pSIA,0,0,7.852602596
10,4,30,pSIA,0,0,8.996196877
10,4,35,pSIA,0,0,10.58153054
10,4,40,pSIA,0,0,11.9445785
10,4,45,pSIA,0,0,13.30992764
10,4,50,pSIA,0,0,14.67315527
10,4,55,pSIA,0,0,16.03836772
10,4,60,pSIA,0,0,17.40188146
10,4,65,pSIA,0,0,18.76621211
10,4,70,pSIA,0,0,20.13124181
10,4,75,pSIA,0,0,21.49474168
10,4,80,pSIA,0,0,22.85878404
10,4,85,pSIA,0,0,24.22314618
10,4,90,pSIA,0,0,25.58749453
10,4,95,pSIA,0,0,26.95197718
10,5,100,pSIA,0,0,22.653015
10,5,25,pSIA,0,0,5.66325375
10,5,30,pSIA,0,0,6.7959045
10,5,35,pSIA,6,2,8.939054255
10,5,40,pSIA,0,0,9.061205999
10,5,45,pSIA,0,0,10.19385675
10,5,50,pSIA,0,0,11.3265075
10,5,55,pSIA,0,0,12.45915825
10,5,60,pSIA,0,0,13.591809
10,5,65,pSIA,0,0,14.72445975
10,5,70,pSIA,0,0,15.8571105
10,5,75,pSIA,0,0,16.98976125
10,5,80,pSIA,0,0,18.122412
10,5,85,pSIA,0,0,19.25506275
10,5,90,pSIA,0,0,20.3877135
10,5,95,pSIA,0,0,21.52036425
100,1,100,pSIA,0,0,28.32665576
100,1,25,pSIA,0,0,7.851018862
100,1,30,pSIA,4,2,10.44035082
100,1,35,pSIA,0,0,10.57824282
100,1,40,pSIA,0,0,11.94520411
100,1,45,pSIA,0,0,13.31017554
100,1,50,pSIA,0,0,14.67323368
100,1,55,pSIA,0,0,16.03832226
100,1,60,pSIA,0,0,17.40266152
100,1,65,pSIA,0,0,18.76661903
100,1,70,pSIA,0,0,20.13033519
100,1,75,pSIA,0,0,21.49436639
100,1,80,pSIA,0,0,22.85945452
100,1,85,pSIA,0,0,24.22340198
100,1,90,pSIA,0,0,25.58776931
100,1,95,pSIA,0,0,26.95247303
100,2,100,pSIA,0,0,33.98982223
100,2,25,pSIA,0,0,9.268301417
100,2,30,pSIA,4,0,10.6458137
100,2,35,pSIA,0,0,12.56427966
100,2,40,pSIA,0,0,14.21181683
100,2,45,pSIA,0,0,15.85610088
100,2,50,pSIA,0,0,17.50521869
100,2,55,pSIA,0,0,19.1519082
100,2,60,pSIA,0,0,20.8007937
100,2,65,pSIA,0,0,22.44745573
100,2,70,pSIA,0,0,24.09478671
100,2,75,pSIA,0,0,25.74217006
100,2,80,pSIA,0,0,27.38998693
100,2,85,pSIA,0,0,29.0369765
100,2,90,pSIA,0,0,30.68484026
100,2,95,pSIA,0,0,32.33204429
100,3,100,pSIA,0,0,28.32654818
100,3,25,pSIA,0,0,7.851887457
100,3,30,pSIA,1,1,9.645855442
100,3,35,pSIA,0,0,10.58079688
100,3,40,pSIA,0,0,11.94478079
100,3,45,pSIA,0,0,13.30871358
100,3,50,pSIA,0,0,14.67355984
100,3,55,pSIA,0,0,16.0389643
100,3,60,pSIA,0,0,17.4023392
100,3,65,pSIA,0,0,18.76608785
100,3,70,pSIA,0,0,20.13083599
100,3,75,pSIA,0,0,21.49443039
100,3,80,pSIA,0,0,22.85904129
100,3,85,pSIA,0,0,24.22341828
100,3,90,pSIA,0,0,25.58747862
100,3,95,pSIA,0,0,26.95195148
100,4,100,pSIA,0,0,28.32649923
100,4,25,pSIA,101,3,9.593591384
100,4,30,pSIA,0,0,8.966917608
100,4,35,pSIA,0,0,10.58142122
100,4,40,pSIA,0,0,11.94525664
100,4,45,pSIA,0,0,13.31053954
100,4,50,pSIA,0,0,14.67355964
100,4,55,pSIA,0,0,16.0375471
100,4,60,pSIA,0,0,17.40164488
100,4,65,pSIA,0,0,18.76674029
100,4,70,pSIA,0,0,20.13117383
100,4,75,pSIA,0,0,21.49498077
100,4,80,pSIA,0,0,22.85899559
100,4,85,pSIA,0,0,24.22411565
100,4,90,pSIA,0,0,25.58780317
100,4,95,pSIA,0,0,26.95208262
100,5,100,pSIA,0,0,22.653015
100,5,25,pSIA,8,2,6.33507326
100,5,30,pSIA,0,0,6.7959045
100,5,35,pSIA,0,0,7.928555249
100,5,40,pSIA,0,0,9.061205999
100,5,45,pSIA,0,0,10.19385675
100,5,50,pSIA,0,0,11.3265075
100,5,55,pSIA,1,1,12.83705172
100,5,60,pSIA,0,0,13.591809
100,5,65,pSIA,0,0,14.72445975
100,5,70,pSIA,0,0,15.8571105
100,5,75,pSIA,0,0,16.98976125
100,5,80,pSIA,0,0,18.122412
100,5,85,pSIA,0,0,19.25506275
100,5,90,pSIA,0,0,20.3877135
100,5,95,pSIA,0,0,21.52036425
1000,1,100,pSIA,0,0,28.32667891
1000,1,25,pSIA,0,0,7.852428297
1000,1,30,pSIA,1,1,9.934302817
1000,1,35,pSIA,1,1,11.17596685
1000,1,40,pSIA,0,0,11.94509078
1000,1,45,pSIA,0,0,13.30938622
1000,1,50,pSIA,0,0,14.67484703
1000,1,55,pSIA,0,0,16.03807112
1000,1,60,pSIA,0,0,17.40240723
1000,1,65,pSIA,0,0,18.76531734
1000,1,70,pSIA,0,0,20.13107305
1000,1,75,pSIA,0,0,21.49508917
1000,1,80,pSIA,0,0,22.85888865
1000,1,85,pSIA,0,0,24.22344775
1000,1,90,pSIA,0,0,25.58787341
1000,1,95,pSIA,0,0,26.95193303
1000,2,100,pSIA,0,0,33.98987248
1000,2,25,pSIA,0,0,9.268144377
1000,2,30,pSIA,20,2,11.798856
1000,2,35,pSIA,0,0,12.43728958
1000,2,40,pSIA,0,0,14.21049174
1000,2,45,pSIA,0,0,15.85734658
1000,2,50,pSIA,0,0,17.50507118
1000,2,55,pSIA,0,0,19.15291448
1000,2,60,pSIA,0,0,20.79992802
1000,2,65,pSIA,0,0,22.44760955
1000,2,70,pSIA,0,0,24.09492404
1000,2,75,pSIA,0,0,25.7424895
1000,2,80,pSIA,0,0,27.38987011
1000,2,85,pSIA,0,0,29.03768367
1000,2,90,pSIA,0,0,30.68508444
1000,2,95,pSIA,0,0,32.33218237
1000,3,100,pSIA,0,0,28.32667365
1000,3,25,pSIA,0,0,7.851513217
1000,3,30,pSIA,1,1,9.212475068
1000,3,35,pSIA,0,0,10.50063545
1000,3,40,pSIA,0,0,11.94409502
1000,3,45,pSIA,0,0,13.30892986
1000,3,50,pSIA,0,0,14.67377783
1000,3,55,pSIA,0,0,16.03785579
1000,3,60,pSIA,0,0,17.40364389
1000,3,65,pSIA,0,0,18.76705084
1000,3,70,pSIA,0,0,20.13023579
1000,3,75,pSIA,0,0,21.49492591
1000,3,80,pSIA,0,0,22.85899855
1000,3,85,pSIA,0,0,24.22366481
1000,3,90,pSIA,0,0,25.58820514
1000,3,95,pSIA,0,0,26.95215088
1000,4,100,pSIA,0,0,28.3266433
1000,4,25,pSIA,0,0,7.852091131
1000,4,30,pSIA,0,0,8.933702527
